source_frame,source_time_s,candidate_frame,candidate_time_s,candidate_minus_source_sampling_ms,source_mouth_aperture,candidate_mouth_aperture,source_mouth_width,candidate_mouth_width,source_left_eye_aperture,candidate_left_eye_aperture,source_right_eye_aperture,candidate_right_eye_aperture,source_left_brow_height,candidate_left_brow_height,source_right_brow_height,candidate_right_brow_height,source_interocular_width_fraction,candidate_interocular_width_fraction,source_face_center_x,candidate_face_center_x,source_nose_x,candidate_nose_x,source_shoulder_center_x,candidate_shoulder_center_x,source_face_center_y,candidate_face_center_y,source_nose_y,candidate_nose_y,source_shoulder_center_y,candidate_shoulder_center_y,source_head_pitch_deg,candidate_head_pitch_deg,source_head_yaw_deg,candidate_head_yaw_deg,source_head_roll_deg,candidate_head_roll_deg,source_left_wrist_x,candidate_left_wrist_x,source_left_wrist_body_relative_x,candidate_left_wrist_body_relative_x,source_left_wrist_y,candidate_left_wrist_y,source_left_wrist_body_relative_y,candidate_left_wrist_body_relative_y,source_right_wrist_x,candidate_right_wrist_x,source_right_wrist_body_relative_x,candidate_right_wrist_body_relative_x,source_right_wrist_y,candidate_right_wrist_y,source_right_wrist_body_relative_y,candidate_right_wrist_body_relative_y,source_left_elbow_x,candidate_left_elbow_x,source_left_elbow_body_relative_x,candidate_left_elbow_body_relative_x,source_left_elbow_y,candidate_left_elbow_y,source_left_elbow_body_relative_y,candidate_left_elbow_body_relative_y,source_right_elbow_x,candidate_right_elbow_x,source_right_elbow_body_relative_x,candidate_right_elbow_body_relative_x,source_right_elbow_y,candidate_right_elbow_y,source_right_elbow_body_relative_y,candidate_right_elbow_body_relative_y
0,0.0,0,0.0,0.0,0.009958711092491117,0.01221404596902788,0.5707348365135682,0.569347650420855,0.07738276267763504,0.08180565017172377,0.07687388282040984,0.08326348234570523,0.1425333753772506,0.12734383699942334,0.10481515888961732,0.08850807558825041,0.125040708494309,0.1341268143811433,0.5095285326242447,0.5221314430236816,0.5046865940093994,0.5192754864692688,0.5085836499929428,0.521062821149826,0.33201155066490173,0.3985322415828705,0.40119418501853943,0.4833301901817322,0.755037397146225,0.7770164012908936,178.45321655273438,-179.39682006835938,3.2282395362854004,-0.33164530992507935,4.200647354125977,4.148667812347412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.041666666666666664,1,0.041666666666666664,0.0,0.025221953398985347,0.02451651681694298,0.5679761919355756,0.5893232708299772,0.07795713544365585,0.08369498702309375,0.07692794322534413,0.08542464387312454,0.13537260378001703,0.12306893947519834,0.09519946285042807,0.08671410677579428,0.12545332176067864,0.13543493283391378,0.5073411911725998,0.5211282670497894,0.5043038129806519,0.5188828110694885,0.5117334425449371,0.5215586423873901,0.335812047123909,0.4014350026845932,0.4038864076137543,0.48376956582069397,0.7567965388298035,0.7730044424533844,177.04225158691406,-181.19401550292974,0.3841547966003418,-0.7376345992088318,4.2830328941345215,4.1023969650268555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.08333333333333333,2,0.08333333333333333,0.0,0.044030295969523146,0.03647051701123316,0.5651977458686246,0.5700783845341841,0.07525456653131182,0.08110378136858207,0.07420286836464095,0.08085461391824547,0.1375088719559228,0.12432495713464349,0.09302174395026694,0.08553460562350144,0.12653967574908784,0.1362112827701295,0.5070250034332275,0.520956352353096,0.5043138861656189,0.5176719427108765,0.5109068155288696,0.5214810371398926,0.3380102217197418,0.403815358877182,0.4078555703163147,0.48907604813575745,0.7598803341388702,0.7715227901935577,177.5861358642578,-180.7282867431641,-0.7275877594947815,0.16937710344791412,4.630516052246094,4.188950061798096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.125,3,0.125,0.0,0.049831422387369255,0.0524697301472098,0.5723710181226772,0.5764814348746267,0.08074396398649851,0.08394863637190081,0.08093005446434147,0.08413146255850643,0.13368738437941677,0.12224684610011144,0.08904320067382183,0.083828477853323,0.12588235993562838,0.13472441698727192,0.5072905123233795,0.5211578607559204,0.5050287842750549,0.5192563533782959,0.5098652839660645,0.5220664441585541,0.33971257507801056,0.40667304396629333,0.4120446741580963,0.4922351837158203,0.7616891860961914,0.7738990187644958,178.92190551757812,-180.73344421386722,-1.895644187927246,-2.19307541847229,4.840288162231445,4.140508651733399,,,,,,,,,,,,,,,,,,,,,,,,,,0.2151053249835968,,-0.7391873443822197,,1.055645227432251,,0.3816381312012279
4,0.16666666666666666,4,0.16666666666666666,0.0,0.061279546462274244,0.06814116791403148,0.5828416213936244,0.5750919478417413,0.08101190973472436,0.07920018101498334,0.08162515002264657,0.07913985928580351,0.13220034955411453,0.12561258038074272,0.08901032443496996,0.08794222755159081,0.12570906741515048,0.13539661798319097,0.5071881413459778,0.5216256827116013,0.5051344633102417,0.5192035436630249,0.5100417137145996,0.5227639824151993,0.3407745361328125,0.40750734508037567,0.4139348864555359,0.4968208372592926,0.7610171735286713,0.7786453068256378,179.31373596191406,-179.18554687500006,-2.2223100662231445,-2.010348320007324,4.744464874267578,4.067124366760254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.20833333333333334,5,0.20833333333333334,0.0,0.06226929016259853,0.03440895938560772,0.5773021574130395,0.5762335023341562,0.0785802962836463,0.07912396983498886,0.07956912727651806,0.08037001016608109,0.1343307592532329,0.13262425524866142,0.09148253898278554,0.0940072640190255,0.12530340916475705,0.1354844216725505,0.5073461830615997,0.5221295654773712,0.5047689080238342,0.5193562507629395,0.5105532109737396,0.5226864814758301,0.3406902700662613,0.4079037010669708,0.41481101512908936,0.4960418939590454,0.7603627145290375,0.781021922826767,179.91444396972656,-180.11380004882815,-2.0461795330047607,-0.8815779089927673,4.891510963439941,4.311907768249512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.25,6,0.25,0.0,0.024054141066273616,0.031019397318385274,0.5686627809901885,0.5412523577571616,0.07569179733463456,0.08169121955728731,0.07735655460735544,0.08104592236281706,0.1391159779590848,0.13042412649448107,0.0963014362441701,0.09182213125934965,0.1262003343079297,0.13459424748029258,0.5076361447572708,0.5224823504686356,0.5045469999313354,0.5197816491127014,0.5114739835262299,0.5235946774482727,0.3406437039375305,0.4078126698732376,0.41588932275772095,0.4978218972682953,0.7595070600509644,0.780161440372467,180.66575622558594,-178.37785339355474,-1.0460232496261597,-0.43787238001823425,5.028131484985352,3.887683391571045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.2916666666666667,7,0.2916666666666667,0.0,0.016091204911339523,0.03410884055373051,0.5585834707427659,0.559195095226577,0.08296454780662564,0.08300366577341224,0.08403769950563637,0.08293485417559092,0.13410523589970882,0.1259298792245026,0.09344215264406398,0.08659047988874465,0.12509361422791862,0.13441249590084386,0.5069994628429413,0.5222043097019196,0.5042243003845215,0.5206423401832581,0.511732667684555,0.5241149216890335,0.34037064015865326,0.4074191153049469,0.415748655796051,0.4944762885570526,0.7575554251670837,0.7773605585098267,182.404541015625,-180.15888977050787,-0.8829540014266968,-2.7169511318206787,4.644593715667725,4.166006088256836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.3333333333333333,8,0.3333333333333333,0.0,0.030260722794718562,0.03600070980619775,0.5632659443391355,0.5569907310057997,0.07652605758597875,0.05999516056243057,0.07594132994524691,0.059568526959374306,0.13751664002643352,0.15720693034032263,0.09714999806119021,0.11752757319716284,0.125528040114565,0.13397742933024112,0.5069285035133362,0.5228287279605865,0.5046192407608032,0.5202023983001709,0.5115389972925186,0.525129646062851,0.3398323059082031,0.4092542380094528,0.4119795262813568,0.49409162998199463,0.7580915093421936,0.7774730324745178,179.88778686523435,-180.7202301025391,-0.8639413714408875,-1.13950777053833,4.264725208282471,4.323289394378662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.375,9,0.375,0.0,0.05114096869050789,0.04934354760617676,0.5564796881049607,0.5785844213664535,0.05590306192110946,0.051354855934848946,0.05565995696646755,0.052478080103849425,0.15996471064516218,0.16674399366032433,0.12448824598458388,0.1318883584879167,0.12313269370759843,0.13396035530728176,0.5074592977762222,0.5226573944091797,0.5047402381896973,0.5207513570785522,0.5121771097183228,0.5252663344144821,0.34043964743614197,0.4112464487552643,0.41031110286712646,0.4905446171760559,0.7591782212257385,0.7765622437000275,179.27662658691403,-182.58401489257818,-0.33897504210472107,-0.8279750943183899,3.9798889160156254,3.95093822479248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
