source_frame,source_time_s,candidate_frame,candidate_time_s,candidate_minus_source_sampling_ms,source_mouth_aperture,candidate_mouth_aperture,source_mouth_width,candidate_mouth_width,source_left_eye_aperture,candidate_left_eye_aperture,source_right_eye_aperture,candidate_right_eye_aperture,source_left_brow_height,candidate_left_brow_height,source_right_brow_height,candidate_right_brow_height,source_interocular_width_fraction,candidate_interocular_width_fraction,source_face_center_x,candidate_face_center_x,source_nose_x,candidate_nose_x,source_shoulder_center_x,candidate_shoulder_center_x,source_face_center_y,candidate_face_center_y,source_nose_y,candidate_nose_y,source_shoulder_center_y,candidate_shoulder_center_y,source_head_pitch_deg,candidate_head_pitch_deg,source_head_yaw_deg,candidate_head_yaw_deg,source_head_roll_deg,candidate_head_roll_deg,source_left_wrist_x,candidate_left_wrist_x,source_left_wrist_body_relative_x,candidate_left_wrist_body_relative_x,source_left_wrist_y,candidate_left_wrist_y,source_left_wrist_body_relative_y,candidate_left_wrist_body_relative_y,source_right_wrist_x,candidate_right_wrist_x,source_right_wrist_body_relative_x,candidate_right_wrist_body_relative_x,source_right_wrist_y,candidate_right_wrist_y,source_right_wrist_body_relative_y,candidate_right_wrist_body_relative_y,source_left_elbow_x,candidate_left_elbow_x,source_left_elbow_body_relative_x,candidate_left_elbow_body_relative_x,source_left_elbow_y,candidate_left_elbow_y,source_left_elbow_body_relative_y,candidate_left_elbow_body_relative_y,source_right_elbow_x,candidate_right_elbow_x,source_right_elbow_body_relative_x,candidate_right_elbow_body_relative_x,source_right_elbow_y,candidate_right_elbow_y,source_right_elbow_body_relative_y,candidate_right_elbow_body_relative_y
0,0.0,0,0.0,0.0,0.06921563047921775,0.05239447334306381,0.5548154570735747,0.5645034759770476,0.04892360008827336,0.0500230462589547,0.05138943165081747,0.052792783936726685,0.12930402658028786,0.1278670469543517,0.15134732233081896,0.14832378256945197,0.12558046549667495,0.12724989096717973,0.47843191027641296,0.47904784977436066,0.47032538056373596,0.4709004759788513,0.5088973343372345,0.5092936158180237,0.3765561878681183,0.37617018818855286,0.45682674646377563,0.4570665657520294,0.7476443946361542,0.7534297406673431,-177.30426025390628,-177.417724609375,11.733709335327148,10.487006187438965,-1.4993833303451538,-1.2534149885177612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.041666666666666664,1,0.041666666666666664,0.0,0.04927863698493511,0.05026489822015429,0.5553775169471901,0.5549391220133798,0.04728996476319326,0.048692455052334195,0.048007803392668344,0.04950492263402221,0.13464860205893425,0.13373907700847418,0.15608772034655918,0.15777859748040068,0.12535448416467376,0.12500302879769062,0.4787265658378601,0.478538453578949,0.46898946166038513,0.4692070484161377,0.5091353952884674,0.5045948922634125,0.3779907524585724,0.37854239344596863,0.45737752318382263,0.45799076557159424,0.7641231119632721,0.7659693360328674,-177.5950927734375,-177.6500244140625,13.489737510681152,13.280876159667969,-1.4921683073043823,-1.6650128364562988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.08333333333333333,2,0.08333333333333333,0.0,0.05676389230020106,0.05057258482640935,0.5534463023189269,0.5520530549745318,0.04650822122857526,0.04716686532902995,0.04639477451705168,0.04822228622212982,0.13733393822844153,0.13459075421905695,0.15646552551950568,0.15750590759804567,0.1252510818802561,0.12524158450337317,0.4790358543395996,0.47888636589050293,0.47021499276161194,0.4694281220436096,0.508836567401886,0.5049566030502319,0.3791736364364624,0.37910935282707214,0.4582988917827606,0.4591728150844574,0.7666668891906738,0.7694438099861145,-177.68614196777347,-177.41107177734378,12.653078079223633,13.402047157287598,-1.467086672782898,-1.4775296449661255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.125,3,0.125,0.0,0.05975407711088652,0.05636811600168042,0.5571580350702212,0.5589149277855434,0.04773458814997845,0.046539119200723976,0.04873387319343655,0.04744223826842349,0.13728790371900632,0.13670949174391242,0.15514570648058829,0.15726676494989092,0.12513946974361537,0.12509529637906489,0.4796784222126007,0.47948363423347473,0.47089263796806335,0.47021475434303284,0.5092708021402359,0.5069670975208282,0.3799648731946945,0.3801305741071701,0.4601726233959198,0.46078193187713623,0.7688728868961334,0.7663165926933289,-177.31201171875,-177.0631103515625,12.357431411743164,12.955375671386719,-1.2109653949737549,-1.286404013633728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.16666666666666666,4,0.16666666666666666,0.0,0.0751449686277281,0.07069036584867394,0.568331095374197,0.5731580243744023,0.04883114459212854,0.04851637012028517,0.048968542707495524,0.04854260296966796,0.1369586818176437,0.13640892687479522,0.15361772647156327,0.15425452561199315,0.12397575900534583,0.12406961061795684,0.48035235702991486,0.4804219901561737,0.47237926721572876,0.4719313681125641,0.5096867084503174,0.5075209140777588,0.3818149268627167,0.3823217898607254,0.46222835779190063,0.4633834958076477,0.7675260901451111,0.7597323656082153,-176.84378051757812,-176.2464599609375,11.862159729003906,12.351462364196777,-1.3228468894958496,-1.2263644933700562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.20833333333333334,5,0.20833333333333334,0.0,0.088689052848272,0.08696978311677601,0.5849323132737843,0.584283501168448,0.048551978685122496,0.04940487312547084,0.04921199568826199,0.05013573436732146,0.13785765324268623,0.1363456370142087,0.15392248223351057,0.15519985209245127,0.12257170356366918,0.12275298091810916,0.481863796710968,0.4820009171962738,0.4748868942260742,0.4746702015399933,0.5103206634521484,0.5091713070869446,0.3861803263425827,0.38662494719028473,0.4674823582172394,0.4677343964576721,0.7679210007190704,0.7575506269931793,-176.67486572265625,-176.5336151123047,11.002159118652344,11.430205345153809,-1.1736924648284912,-1.3271311521530151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.25,6,0.25,0.0,0.08473148034416735,0.08365587934361472,0.5812347242412538,0.5760172355669441,0.05014745134886296,0.04972391203935135,0.050855816168185845,0.050498975582171535,0.13951144319873574,0.13982187295418128,0.15598041012551728,0.15558971058293966,0.12421670556225693,0.12453271897021617,0.48386356234550476,0.48418715596199036,0.47874730825424194,0.4783523976802826,0.5100978910923004,0.5083427131175995,0.38989128172397614,0.391036257147789,0.4750992953777313,0.4744742810726166,0.7651374042034149,0.760197788476944,-175.61236572265625,-176.0965118408203,8.629176139831543,9.146768569946289,-1.362735629081726,-1.149160385131836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.2916666666666667,7,0.2916666666666667,0.0,0.09668764251305735,0.0895651788051177,0.5899251207455991,0.5847149906046611,0.055699383325543375,0.050818918557849965,0.057040171674875885,0.0526185675107177,0.13462967980092141,0.13958196772896098,0.1502407931921374,0.15455830071344956,0.12645515957059947,0.1265037025969763,0.48662157356739044,0.4868180751800537,0.48229026794433594,0.4817635416984558,0.508903980255127,0.5092081725597382,0.39462949335575104,0.39582906663417816,0.4828301966190338,0.48136910796165466,0.7645127177238464,0.7632260024547577,-173.68632507324222,-174.83770751953125,6.463144779205322,7.247422218322754,-1.187352180480957,-1.0886603593826294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.3333333333333333,8,0.3333333333333333,0.0,0.09519911963489913,0.09582690555162397,0.589335115395651,0.5848197001142132,0.05446255523716191,0.053140353128962925,0.056133865670557226,0.055205563426420176,0.138557592768096,0.14062750483746875,0.15225957531760015,0.1526672643041637,0.12604191306117243,0.12682128553900246,0.48986533284187317,0.4901266098022461,0.48797160387039185,0.48731836676597595,0.5095249265432358,0.5111537277698517,0.39778484404087067,0.39915831387043,0.48698690533638,0.486238956451416,0.7636796534061432,0.7621527016162872,-172.8639678955078,-173.9488525390625,2.8647146224975586,3.5244541168212895,-1.1039568185806274,-0.7825514078140259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.375,9,0.375,0.0,0.08128070661061396,0.07709952675055348,0.5752698299656894,0.564680276846149,0.05618031284443675,0.055184613150493715,0.05668150904632366,0.05615900131205644,0.13902798695495802,0.14086425015133303,0.15119564798339294,0.14947949275962075,0.12616879200468445,0.12655684977518408,0.4931393712759018,0.4933927059173584,0.49316322803497314,0.492688924074173,0.5091628432273865,0.5108008086681366,0.3993249982595444,0.39997459948062897,0.4897020161151886,0.49004870653152466,0.7618880867958069,0.7614350914955139,-171.54095458984375,-171.86131286621094,-0.24086138606071472,0.34117990732192993,-1.2115999460220337,-0.764320433139801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
